BECvar_site,BECvar_seed,HTp_pred
BGxh2,CWHvh3,0.5681
BGxh2,CWHvm1,0.5918
BGxh2,CWHvm2,0.5444
BGxh2,CWHwh1,0.6372
BGxh2,CWHwh2,0.5418
BGxh2,CWHwm,0.5919
BGxh2,CWHws1,0.6929
BGxh2,CWHws2,0.6329
BGxh2,CWHxm1,0.7664
BGxh2,CWHxm2,0.6935
BGxh2,ESSFdc1,0.6783
BGxh2,ESSFdc2,0.7154
BGxh2,ESSFdc3,0.7346
BGxh2,ESSFdcp,0.6090
BGxh2,ESSFdcw,0.6315
BGxh2,ESSFdk1,0.6611
BGxh2,ESSFdk2,0.6354
BGxh2,ESSFdkp,0.5419
BGxh2,ESSFdkw,0.5798
BGxh2,ESSFdv1,0.6859
BGxh2,ESSFdv2,0.6530
BGxh2,ESSFdvp,0.5780
BGxh2,ESSFdvw,0.6183
BGxh2,ESSFmc,0.6445
BGxh2,ESSFmcp,0.5366
BGxh2,ESSFmh,0.7261
BGxh2,ESSFmk,0.6288
BGxh2,ESSFmkp,0.5534
BGxh2,ESSFmm1,0.5988
BGxh2,ESSFmm2,0.6009
BGxh2,ESSFmmp,0.5413
BGxh2,ESSFmmw,0.5998
BGxh2,ESSFmv1,0.7304
BGxh2,ESSFmv2,0.6271
BGxh2,ESSFmv3,0.6398
BGxh2,ESSFmv4,0.6452
BGxh2,ESSFmvp,0.5717
BGxh2,ESSFmw,0.6521
BGxh2,ESSFmw1,0.6676
BGxh2,ESSFmw2,0.6920
BGxh2,ESSFmwp,0.5838
BGxh2,ESSFmww,0.6361
BGxh2,ESSFun,0.5513
BGxh2,ESSFunp,0.4994
BGxh2,ESSFvc,0.6013
BGxh2,ESSFvcp,0.5146
BGxh2,ESSFvcw,0.5523
BGxh2,ESSFwc2,0.6162
BGxh2,ESSFwc3,0.5693
BGxh2,ESSFwc4,0.6182
BGxh2,ESSFwcp,0.5327
BGxh2,ESSFwcw,0.5672
BGxh2,ESSFwh1,0.6536
BGxh2,ESSFwh2,0.6835
BGxh2,ESSFwh3,0.6315
BGxh2,ESSFwk1,0.6532
BGxh2,ESSFwk2,0.5975
BGxh2,ESSFwm,0.6110
BGxh2,ESSFwm1,0.6532
BGxh2,ESSFwm2,0.6400
BGxh2,ESSFwm3,0.5849
BGxh2,ESSFwm4,0.6810
BGxh2,ESSFwmp,0.5403
BGxh2,ESSFwmw,0.5807
BGxh2,ESSFwv,0.6266
BGxh2,ESSFwvp,0.5631
BGxh2,ESSFxc1,0.7218
BGxh2,ESSFxc2,0.7072
BGxh2,ESSFxc3,0.6942
BGxh2,ESSFxcp,0.6340
BGxh2,ESSFxcw,0.6503
BGxh2,ESSFxv1,0.6346
BGxh2,ESSFxv2,0.6277
BGxh2,ESSFxvp,0.5643
BGxh2,ESSFxvw,0.6256
BGxh2,ICHdk,0.8127
BGxh2,ICHdm,0.7718
BGxh2,ICHdw1,0.8245
BGxh2,ICHdw3,0.8096
BGxh2,ICHdw4,0.8601
BGxh2,ICHmc1,0.7178
BGxh2,ICHmc2,0.7858
BGxh2,ICHmk1,0.8099
BGxh2,ICHmk2,0.8119
BGxh2,ICHmk3,0.7854
BGxh2,ICHmk4,0.7510
BGxh2,ICHmm,0.7183
BGxh2,ICHmw1,0.7482
BGxh2,ICHmw2,0.7616
BGxh2,ICHmw3,0.7671
BGxh2,ICHmw4,0.6967
BGxh2,ICHmw5,0.7794
BGxh2,ICHvc,0.6866
BGxh2,ICHvk1,0.6676
BGxh2,ICHvk2,0.6605
BGxh2,ICHwc,0.6522
BGxh2,ICHwk1,0.7046
BGxh2,ICHwk2,0.7584
BGxh2,ICHwk3,0.7071
BGxh2,ICHwk4,0.7085
BGxh2,ICHxw,0.8842
BGxh2,IDFdc,0.8320
BGxh2,IDFdk1,0.8760
BGxh2,IDFdk2,0.8546
BGxh2,IDFdk3,0.8685
BGxh2,IDFdk4,0.8615
