BECvarfut_plantation,BECvar_seed,HTp_pred
BGxh2,ESSFmmp,0.5598
BGxh2,ESSFmmw,0.6135
BGxh2,ESSFmv1,0.7221
BGxh2,ESSFmv2,0.6386
BGxh2,ESSFmv3,0.6400
BGxh2,ESSFmv4,0.6454
BGxh2,ESSFmvp,0.5786
BGxh2,ESSFmw,0.6627
BGxh2,ESSFmw1,0.6788
BGxh2,ESSFmw2,0.6945
BGxh2,ESSFmwp,0.5937
BGxh2,ESSFmww,0.6443
BGxh2,ESSFun,0.5699
BGxh2,ESSFunp,0.5205
BGxh2,ESSFvc,0.6210
BGxh2,ESSFvcp,0.5353
BGxh2,ESSFvcw,0.5726
BGxh2,ESSFwc2,0.6312
BGxh2,ESSFwc3,0.5855
BGxh2,ESSFwc4,0.6342
BGxh2,ESSFwcp,0.5509
BGxh2,ESSFwcw,0.5841
BGxh2,ESSFwh1,0.6695
BGxh2,ESSFwh2,0.6935
BGxh2,ESSFwh3,0.6522
BGxh2,ESSFwk1,0.6657
BGxh2,ESSFwk2,0.6121
BGxh2,ESSFwm,0.6208
BGxh2,ESSFwm1,0.6641
BGxh2,ESSFwm2,0.6504
BGxh2,ESSFwm3,0.6055
BGxh2,ESSFwm4,0.6891
BGxh2,ESSFwmp,0.5552
BGxh2,ESSFwmw,0.5943
BGxh2,ESSFwv,0.6356
BGxh2,ESSFwvp,0.5760
BGxh2,ESSFxc1,0.7157
BGxh2,ESSFxc2,0.7053
BGxh2,ESSFxc3,0.6886
BGxh2,ESSFxcp,0.6335
BGxh2,ESSFxcw,0.6502
BGxh2,ESSFxv1,0.6379
BGxh2,ESSFxv2,0.6296
BGxh2,ESSFxvp,0.5737
BGxh2,ESSFxvw,0.6270
BGxh2,ICHdk,0.8089
BGxh2,ICHdm,0.7749
BGxh2,ICHdw1,0.8384
BGxh2,ICHdw3,0.8152
BGxh2,ICHdw4,0.8689
BGxh2,ICHmc1,0.7262
BGxh2,ICHmc2,0.7898
BGxh2,ICHmk1,0.8086
BGxh2,ICHmk2,0.8070
BGxh2,ICHmk3,0.7861
BGxh2,ICHmk4,0.7522
BGxh2,ICHmm,0.7219
BGxh2,ICHmw1,0.7466
BGxh2,ICHmw2,0.7766
BGxh2,ICHmw3,0.7793
BGxh2,ICHmw4,0.7165
BGxh2,ICHmw5,0.7858
BGxh2,ICHvc,0.6973
BGxh2,ICHvk1,0.6855
BGxh2,ICHvk2,0.6776
BGxh2,ICHwc,0.6663
BGxh2,ICHwk1,0.7186
BGxh2,ICHwk2,0.7657
BGxh2,ICHwk3,0.7195
BGxh2,ICHwk4,0.7201
BGxh2,ICHxw,0.8975
BGxh2,IDFdc,0.8217
BGxh2,IDFdk1,0.8548
BGxh2,IDFdk2,0.8432
BGxh2,IDFdk3,0.8509
BGxh2,IDFdk4,0.8371
BGxh2,IDFdk5,0.8566
BGxh2,IDFdm1,0.8887
BGxh2,IDFdm2,0.8880
