BECvarfut_plantation,BECvar_seed,HTp_pred
BGxh1,ESSFwvp,0.4223
BGxh1,ESSFxc1,0.5685
BGxh1,ESSFxc2,0.5559
BGxh1,ESSFxc3,0.5370
BGxh1,ESSFxcp,0.4829
BGxh1,ESSFxcw,0.4994
BGxh1,ESSFxv1,0.4845
BGxh1,ESSFxv2,0.4760
BGxh1,ESSFxvp,0.4232
BGxh1,ESSFxvw,0.4742
BGxh1,ICHdk,0.6704
BGxh1,ICHdm,0.6321
BGxh1,ICHdw1,0.7155
BGxh1,ICHdw3,0.6781
BGxh1,ICHdw4,0.7504
BGxh1,ICHmc1,0.5749
BGxh1,ICHmc2,0.6460
BGxh1,ICHmk1,0.6719
BGxh1,ICHmk2,0.6665
BGxh1,ICHmk3,0.6440
BGxh1,ICHmk4,0.6039
BGxh1,ICHmm,0.5688
BGxh1,ICHmw1,0.5929
BGxh1,ICHmw2,0.6377
BGxh1,ICHmw3,0.6375
BGxh1,ICHmw4,0.5723
BGxh1,ICHmw5,0.6462
BGxh1,ICHvc,0.5427
BGxh1,ICHvk1,0.5331
BGxh1,ICHvk2,0.5242
BGxh1,ICHwc,0.5086
BGxh1,ICHwk1,0.5682
BGxh1,ICHwk2,0.6222
BGxh1,ICHwk3,0.5698
BGxh1,ICHwk4,0.5708
BGxh1,ICHxw,0.7958
BGxh1,IDFdc,0.6825
BGxh1,IDFdk1,0.7232
BGxh1,IDFdk2,0.7096
BGxh1,IDFdk3,0.7182
BGxh1,IDFdk4,0.6986
BGxh1,IDFdk5,0.7221
BGxh1,IDFdm1,0.7701
BGxh1,IDFdm2,0.7679
BGxh1,IDFdw,0.6631
BGxh1,IDFmw1,0.7772
BGxh1,IDFmw2,0.7695
BGxh1,IDFww,0.6931
BGxh1,IDFww1,0.7865
BGxh1,IDFxc,0.8049
BGxh1,IDFxh1,0.8343
BGxh1,IDFxh2,0.8023
BGxh1,IDFxh4,0.8493
BGxh1,IDFxk,0.8009
BGxh1,IDFxm,0.7611
BGxh1,IDFxw,0.8000
BGxh1,IMAun,0.3582
BGxh1,IMAunp,0.4438
BGxh1,MHmm1,0.0000
BGxh1,MHmm2,0.4394
BGxh1,MHmmp,0.3748
BGxh1,MHun,0.4380
BGxh1,MHunp,0.3310
BGxh1,MHwh,0.0000
BGxh1,MHwh1,0.0000
BGxh1,MHwhp,0.0000
BGxh1,MSdc1,0.6032
BGxh1,MSdc2,0.5569
BGxh1,MSdc3,0.5681
BGxh1,MSdk1,0.6296
BGxh1,MSdk2,0.6148
BGxh1,MSdm1,0.6500
BGxh1,MSdm2,0.6334
BGxh1,MSdm3,0.6658
BGxh1,MSdv,0.5394
BGxh1,MSmw1,0.5985
BGxh1,MSmw2,0.6339
BGxh1,MSun,0.5077
BGxh1,MSxk1,0.6359
BGxh1,MSxk2,0.6708
BGxh1,MSxk3,0.6139
BGxh1,MSxv,0.5738
BGxh1,PPdh2,0.8285
BGxh1,PPxh1,0.9344
BGxh1,PPxh2,0.8881
BGxh1,PPxh3,0.8572
BGxh1,SBPSdc,0.6591
BGxh1,SBPSmc,0.6384
BGxh1,SBPSmk,0.6553
BGxh1,SBPSxc,0.6513
BGxh1,SBSdh1,0.6572
BGxh1,SBSdh2,0.5434
BGxh1,SBSdk,0.6641
BGxh1,SBSdw1,0.6826
BGxh1,SBSdw2,0.6756
BGxh1,SBSdw3,0.6442
BGxh1,SBSmc1,0.6059
BGxh1,SBSmc2,0.6017
BGxh1,SBSmc3,0.6237
BGxh1,SBSmh,0.7167
BGxh1,SBSmk1,0.5779
BGxh1,SBSmk2,0.6007
BGxh1,SBSmm,0.6175
BGxh1,SBSmw,0.6515
BGxh1,SBSun,0.4853
BGxh1,SBSvk,0.5216
BGxh1,SBSwk1,0.5642
BGxh1,SBSwk2,0.5347
BGxh1,SBSwk3,0.5904
BGxh1,SWBmk,0.4658
BGxh1,SWBmks,0.4121
BGxh1,SWBun,0.4562
BGxh1,SWBuns,0.4145
BGxh1,SWBvk,0.3668
BGxh1,SWBvks,0.3068
BGxh2,BAFAun,0.4194
