"Unit","SImin","SImean","SImax","MeanPlotSiteIndex","Spp"
"IDFdk2/05",19.1135551745153,19.7019048797686,20.1265586680917,NA,"Lw"
"IDFdk2/06",18.4566056816714,19.3624416659404,19.9107230118193,NA,"Lw"
"IDFdk2/07",18.4566056816714,19.3625803251543,19.9350128929638,NA,"Lw"
"IDFdk2/08",19.3063175826536,19.6048833958234,19.9350128929638,NA,"Lw"
"IDFdm1/01",19.4297831701695,20.3385022483239,21.121372187251,18,"Lw"
"IDFdm1/01",19.4297831701695,20.3385022483239,21.121372187251,18,"Lw"
"IDFdm1/02",15.7695019964178,17.6302910756745,19.8747881005578,NA,"Lw"
"IDFdm1/03",15.9498120847166,17.7875719597277,19.8258415838822,NA,"Lw"
"IDFdm1/04",16.8395348875214,18.5459396265127,19.8747881005578,15,"Lw"
"IDFdm1/04",16.8395348875214,18.5459396265127,19.8747881005578,15,"Lw"
"IDFdm1/05",19.8258415838822,21.2424283017724,23.023372562693,21,"Lw"
"IDFdm1/05",19.8258415838822,21.2424283017724,23.023372562693,21,"Lw"
"IDFdm1/06",22.1474256231721,22.8745398275854,23.2797689135922,24,"Lw"
"IDFdm1/06",22.1474256231721,22.8745398275854,23.2797689135922,24,"Lw"
"IDFdm1/07",22.1474256231721,22.8982018353855,23.2797689135922,21,"Lw"
"IDFdm1/07",22.1474256231721,22.8982018353855,23.2797689135922,21,"Lw"
"IDFdm2/01",17.3476113858969,17.9590593145584,18.5408828311956,18,"Lw"
"IDFdm2/02",14.5524975413428,15.547805427074,17.3454988112982,NA,"Lw"
"IDFdm2/03",15.1548444145791,16.4690463188973,17.5472727407956,15,"Lw"
"IDFdm2/04",18.4469486776296,19.2936828156568,20.1454509923564,18,"Lw"
"IDFdm2/05",19.970755010292,20.1652563356025,20.3697977993931,21,"Lw"
"IDFdm2/06",19.3789974202755,19.9829490578377,20.3579204826592,NA,"Lw"
"IDFdm2/07",19.8078976814808,20.2179674764162,20.3697977993931,NA,"Lw"
"IDFmw1/01",21.8585060664406,23.9281225076149,26.3978422019761,20.9583334790336,"Lw"
"IDFmw1/02",17.9435385953062,19.8049647098563,21.0138324900416,NA,"Lw"
"IDFmw1/03",19.4847999616017,20.9983563429212,22.3591366131275,NA,"Lw"
"IDFmw1/04",20.3552363712775,22.1455832495181,23.7615437106574,21,"Lw"
"IDFmw1/05",24.2075444890277,25.6367038765944,26.3978422019761,24,"Lw"
"IDFmw1/06",24.2075444890277,25.6367038765944,26.3978422019761,27,"Lw"
"IDFmw2/01",17.9103040584891,19.5372437383381,21.6297206628995,NA,"Lw"
"IDFmw2/02",14.5362700722476,15.9263948529424,17.0184583801304,NA,"Lw"
"IDFmw2/03",15.9653496341595,17.2055192466985,18.3205079985423,NA,"Lw"
"IDFmw2/04",19.3422790647589,20.4855324683337,21.6297206628995,NA,"Lw"
"IDFmw2/05",19.8350464112248,20.7989223222683,21.4238691967597,NA,"Lw"
"IDFxh1/01",18.1007499191377,18.9473109248043,19.6766311060756,NA,"Lw"
"IDFxh1/02",14.6908387750172,15.6584861460246,16.3194213183559,NA,"Lw"
"IDFxh1/03",15.4938053539594,16.1254717041609,16.5811386174651,NA,"Lw"
"IDFxh1/04",15.6876794292584,17.5439482697541,19.6766311060756,NA,"Lw"
"IDFxh1/05",18.4097669632073,19.0852516499142,19.7401737303854,NA,"Lw"
"IDFxh1/06",19.5479515631913,20.4409261281685,21.4485311237165,NA,"Lw"
"IDFxh1/07",19.5479515631913,20.4409261281685,21.4485311237165,NA,"Lw"
"IDFxh1/08",20.6325005815411,21.309878824081,21.6873894880718,NA,"Lw"
"IDFxh1/09",20.6325005815411,21.3037051278193,21.6873894880718,NA,"Lw"
"IDFxh2/01",15.8216774767271,17.8470209166765,20.4661301987755,NA,"Lw"
"IDFxh2/02",14.1782412582229,15.3175123586258,17.1162085274194,NA,"Lw"
"IDFxh2/03",14.7841470271122,15.5317705570695,16.4116408169268,NA,"Lw"
"IDFxh2/04",14.9691411436954,15.9190295421206,16.6042603704507,NA,"Lw"
"IDFxh2/05",16.0838649861194,16.9085196346898,17.6237540373872,NA,"Lw"
"IDFxh2/06",16.6042603704507,18.5530449099945,20.4661301987755,NA,"Lw"
"IDFxh2/07",20.2886533720969,20.4862508073268,20.6940482019136,NA,"Lw"
